#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F150W2 F322W2 F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M    Mact
 1   9.41  0.15  0.13250 -2.751 3.477  5.166 10.70  0.040 0.00 22.347 23.062 21.406 20.573 20.093 19.791 19.713 19.201 19.094 20.123 19.455 20.296 19.793 19.882 19.679 19.747 19.667 19.321 19.122 19.023 19.064 19.179 19.154  0.132 
 1   9.41  0.19  0.01225 -4.311 3.113  4.237  9.70  0.040 0.00 25.248 34.759 30.753 27.724 25.025 22.776 21.343 20.118 19.830 23.893 20.627 25.743 24.310 23.396 22.372 21.654 21.025 20.340 20.000 19.800 19.906 19.842 19.785  0.012 
 1   9.43  0.03  0.41827 -1.580 3.579  4.902  7.40  0.036 0.00 16.119 16.067 15.116 14.536 13.974 13.691 13.710 13.438 13.370 14.053 13.580 14.136 13.743 13.726 13.643 13.738 13.697 13.513 13.387 13.314 13.347 13.435 13.428  0.418 
 1   9.43  0.27  0.07225 -3.947 3.291  5.352  8.90  0.039 0.00 23.537 27.226 24.077 22.122 21.290 20.683 20.259 19.369 19.237 21.219 19.773 21.954 20.623 20.972 20.396 20.408 20.082 19.550 19.259 19.158 19.255 19.330 19.272  0.072 
 1   9.45 -0.45  1.53157  0.466 3.829  4.290  7.40  0.036 0.75 11.003 10.670 10.485 10.318 10.076 10.014  9.999  9.997  9.994 10.149  9.998 10.120 10.021 10.018 10.010 10.001 10.000  9.998  9.996  9.994  9.994  9.991  9.994  1.142 
 1   9.45 -0.45  0.21221 -2.104 3.571  5.098 10.00  0.040 0.00 20.029 19.898 19.046 18.477 17.926 17.639 17.612 17.334 17.251 18.001 17.480 18.076 17.710 17.683 17.585 17.645 17.594 17.411 17.282 17.206 17.231 17.306 17.290  0.212 
 1   9.45 -0.31  0.13471 -2.680 3.499  5.190 11.00  0.040 0.94 21.806 22.272 20.856 20.101 19.565 19.270 19.182 18.744 18.643 19.621 18.965 19.745 19.301 19.346 19.174 19.225 19.134 18.846 18.674 18.583 18.617 18.721 18.686  0.135 
 1   9.45 -0.19  0.04252 -4.795 3.068  5.046  9.70  0.040 0.92 25.707 36.981 32.447 29.017 25.958 23.430 21.937 20.587 20.119 24.592 21.123 26.799 25.173 24.158 22.975 22.346 21.505 21.095 20.433 20.053 20.276 20.160 20.112  0.039 
 1   9.45 -0.19  0.50807 -1.318 3.609  4.844 10.20  0.040 0.99 17.539 17.289 16.595 16.078 15.457 15.169 15.191 15.016 14.995 15.557 15.109 15.628 15.229 15.191 15.139 15.214 15.186 15.060 14.980 14.940 14.972 15.065 15.048  0.508 
 1   9.45 -0.15  0.01206 -4.295 3.116  4.225 10.30  0.040 0.86 25.550 35.182 31.209 28.198 25.493 23.204 21.700 20.446 20.049 24.328 20.961 26.217 24.773 23.843 22.792 22.058 21.348 20.740 20.323 20.035 20.164 20.036 19.973  0.012 
 1   9.45 -0.03  0.01541 -4.325 3.109  4.221  9.10  0.040 0.77 24.211 34.324 30.212 27.078 24.269 21.906 20.334 19.066 18.727 23.029 19.586 25.021 23.531 22.558 21.490 20.686 19.989 19.323 18.939 18.711 18.846 18.703 18.660  0.012 
 1   9.45  0.01  0.06448 -4.368 3.193  5.333 10.20  0.040 0.00 25.891 32.065 28.891 26.500 24.419 22.877 22.051 21.038 20.857 23.896 21.484 25.032 23.779 23.319 22.542 22.256 21.805 21.213 20.936 20.790 20.857 20.944 20.865  0.064 
 1   9.45  0.05  0.47692 -1.441 3.590  4.864 10.90  0.040 0.00 19.273 19.160 18.293 17.732 17.136 16.851 16.880 16.647 16.600 17.226 16.769 17.306 16.902 16.879 16.811 16.906 16.872 16.709 16.601 16.542 16.578 16.671 16.658  0.477 
