#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F560W  F770W  F1000W F1130W F1280W F1500W F1800W F2100W F2550W   Mact
 1   9.47 -0.21  0.01718 -4.346 3.107  4.263  9.90  0.040 0.74 25.209 19.498 19.365 19.458 19.222 19.029 18.985 18.997 18.864 18.333  0.013 
 1   9.47 -0.21  0.20104 -2.193 3.552  5.090 11.00  0.040 0.00 21.253 18.374 18.368 18.294 18.301 18.271 18.251 18.214 18.192 17.855  0.201 
 1   9.47  0.03  0.01022 -4.905 2.979  4.213  9.90  0.040 0.00 26.933 20.838 20.783 20.761 20.447 20.202 20.122 20.144 20.049 19.724  0.010 
 1   9.47  0.05  0.03153 -5.058 2.996  4.924 13.30  0.040 0.00 30.715 24.743 24.711 24.607 24.280 24.047 23.982 24.003 23.807 23.167  0.032 
 1   9.47  0.19  0.03377 -4.982 3.017  4.961  7.50  0.036 0.00 24.725 18.815 18.767 18.690 18.387 18.168 18.109 18.127 17.939 17.296  0.034 
 1   9.47  0.23  0.04729 -4.868 3.063  5.177  9.00  0.039 0.00 25.940 20.195 20.115 20.085 19.824 19.618 19.571 19.609 19.519 19.180  0.047 
 1   9.49 -0.15  0.67865 -0.862 3.654  4.694  6.40  0.030 0.00 13.326 11.089 11.048 11.038 11.033 11.032 11.028 11.021 11.016 11.014  0.679 
 1   9.49 -0.11  0.06647 -4.312 3.207  5.348  7.10  0.034 0.00 22.650 17.630 17.468 17.432 17.258 17.164 17.121 17.126 17.047 16.472  0.066 
 1   9.49 -0.11  0.07205 -3.996 3.281  5.361 10.40  0.040 0.00 25.160 20.732 20.565 20.330 20.244 20.249 20.166 20.092 20.091 19.557  0.072 
 1   9.49 -0.03  0.06775 -4.246 3.223  5.353 10.60  0.040 0.77 25.757 20.634 20.496 20.430 20.242 20.130 20.077 20.084 20.016 19.533  0.068 
 1   9.49  0.01  0.30594 -1.872 3.561  4.986 10.60  0.040 0.00 20.049 17.232 17.233 17.156 17.157 17.132 17.118 17.070 17.041 16.605  0.306 
 1   9.49  0.05  0.06387 -4.445 3.175  5.336  9.50  0.040 0.75 25.054 19.664 19.538 19.540 19.317 19.150 19.117 19.145 19.039 18.517  0.064 
 1   9.49  0.07  0.03984 -4.775 3.074  5.055 10.80  0.040 0.00 27.508 21.802 21.699 21.712 21.463 21.251 21.206 21.257 21.230 21.111  0.040 
 1   9.51 -0.31  0.06179 -4.580 3.144  5.330  9.20  0.040 0.94 24.845 19.382 19.242 19.284 19.066 18.884 18.857 18.891 18.795 18.341  0.062 
 1   9.51 -0.31  0.54664 -1.182 3.625  4.805 10.90  0.040 0.92 18.010 15.559 15.544 15.505 15.496 15.490 15.480 15.465 15.456 15.450  0.547 
 1   9.51 -0.29  0.75070 -0.605 3.694  4.641  8.70  0.039 0.99 14.270 12.298 12.258 12.254 12.252 12.252 12.250 12.245 12.242 12.241  0.751 
 1   9.51 -0.27  0.10073 -3.040 3.461  5.270  9.70  0.040 0.86 21.672 18.314 18.263 18.033 18.018 17.981 17.940 17.869 17.911 17.559  0.101 
 1   9.51 -0.25  0.06950 -4.175 3.241  5.363  9.80  0.040 0.77 24.805 19.800 19.660 19.550 19.386 19.295 19.235 19.226 19.177 18.712  0.069 
 1   9.51 -0.17  0.39904 -1.596 3.586  4.925 10.30  0.040 0.00 19.059 16.404 16.409 16.341 16.329 16.313 16.293 16.264 16.245 16.143  0.399 
 1   9.51 -0.15  0.20296 -2.195 3.549  5.085 10.00  0.040 0.00 20.259 17.362 17.356 17.280 17.289 17.257 17.241 17.197 17.173 16.752  0.203 
 1   9.51 -0.13  0.13678 -2.681 3.493  5.174 10.10  0.040 0.00 21.574 18.419 18.401 18.255 18.256 18.219 18.196 18.135 18.137 17.721  0.137 
 1   9.51 -0.11  0.01163 -4.416 3.089  4.220  9.40  0.040 0.00 25.210 19.483 19.316 19.484 19.261 19.065 19.021 19.051 19.004 18.784  0.012 
 1   9.51 -0.05  0.55233 -1.231 3.612  4.803  8.70  0.039 0.00 16.547 14.049 14.039 13.995 13.982 13.974 13.960 13.942 13.930 13.922  0.552 
 1   9.51 -0.05  0.12551 -2.790 3.480  5.193  9.40  0.040 0.00 21.144 17.937 17.917 17.747 17.746 17.710 17.694 17.614 17.631 17.146  0.126 
 1   9.51 -0.01  0.10404 -3.013 3.456  5.238 10.50  0.040 0.74 22.610 19.171 19.111 18.879 18.854 18.831 18.795 18.699 18.744 18.243  0.104 
 1   9.51  0.03  0.16432 -2.484 3.509  5.119  8.60  0.039 0.00 19.579 16.500 16.491 16.362 16.362 16.331 16.318 16.245 16.237 15.679  0.164 
 1   9.51  0.21  0.21457 -2.199 3.534  5.049  9.00  0.039 0.72 18.882 15.860 15.854 15.737 15.740 15.709 15.696 15.627 15.613 15.047  0.215 
 1   9.51  0.29  0.22389 -2.164 3.536  5.041 10.80  0.040 0.84 20.424 17.441 17.438 17.334 17.338 17.307 17.295 17.230 17.208 16.635  0.224 
 1   9.53 -0.41  0.07866 -3.707 3.348  5.379  8.50  0.039 0.00 22.539 18.670 18.537 18.252 18.186 18.192 18.115 18.016 18.073 17.575  0.079 
 1   9.53 -0.31  0.04144 -4.803 3.070  5.083  8.30  0.039 0.00 25.078 19.356 19.261 19.261 19.008 18.798 18.752 18.798 18.749 18.551  0.041 
 1   9.53 -0.31  0.01562 -4.615 3.060  4.432 10.40  0.040 0.00 26.706 20.871 20.725 20.861 20.617 20.415 20.360 20.383 20.310 20.026  0.016 
 1   9.53 -0.29  0.19378 -2.228 3.551  5.104 10.90  0.040 0.75 20.850 17.891 17.879 17.791 17.797 17.763 17.737 17.705 17.689 17.427  0.194 
 1   9.53 -0.15  0.01299 -4.373 3.103  4.282  9.80  0.040 0.00 25.502 19.857 19.697 19.837 19.621 19.434 19.398 19.418 19.326 18.916  0.013 
 1   9.53 -0.01  0.02060 -5.130 2.957  4.640 10.90  0.040 0.97 27.753 21.650 21.645 21.548 21.192 20.910 20.825 20.871 20.782 20.500  0.020 
 1   9.53  0.01  0.06656 -4.352 3.199  5.354 12.70  0.040 1.00 27.601 22.522 22.362 22.350 22.166 22.057 22.020 22.034 21.947 21.367  0.067 
 1   9.53  0.03  0.08252 -3.475 3.385  5.318  9.70  0.040 0.96 22.538 18.857 18.749 18.456 18.407 18.400 18.339 18.232 18.303 17.815  0.083 
 1   9.53  0.05  0.10365 -3.023 3.453  5.234 13.80  0.040 0.70 26.016 22.529 22.465 22.241 22.212 22.188 22.154 22.062 22.098 21.584  0.104 
 1   9.53  0.27  0.02354 -5.129 2.964  4.742  9.70  0.040 0.00 27.293 21.220 21.209 21.106 20.754 20.485 20.404 20.441 20.308 19.890  0.024 
 1   9.55 -0.49  0.23395 -2.006 3.580  5.077  8.60  0.039 0.00 18.384 15.697 15.703 15.629 15.618 15.600 15.575 15.552 15.536 15.511  0.234 
 1   9.55 -0.39  0.38817 -1.586 3.597  4.947  8.70  0.039 0.75 16.964 14.357 14.369 14.300 14.288 14.274 14.253 14.228 14.212 14.180  0.388 
 1   9.55 -0.31  0.12804 -2.739 3.494  5.205 11.00  0.040 0.00 22.618 19.461 19.439 19.300 19.303 19.259 19.224 19.190 19.187 18.949  0.128 
 1   9.55 -0.23  0.16452 -2.448 3.521  5.134  9.80  0.040 0.00 20.690 17.660 17.649 17.544 17.549 17.513 17.488 17.447 17.432 17.105  0.165 
 1   9.55 -0.17  0.12113 -2.816 3.482  5.210 10.30  0.040 0.00 22.109 18.907 18.884 18.721 18.721 18.680 18.654 18.595 18.605 18.235  0.121 
 1   9.55 -0.15  0.01375 -4.436 3.092  4.328  9.50  0.040 0.00 25.360 19.657 19.492 19.652 19.430 19.236 19.194 19.221 19.161 18.884  0.014 
 1   9.55  0.01  0.01397 -4.454 3.089  4.340 10.10  0.040 0.00 26.005 20.285 20.118 20.284 20.060 19.864 19.821 19.850 19.799 19.563  0.014 
 1   9.55  0.07  0.02488 -5.125 2.968  4.776 11.40  0.040 0.00 28.983 22.923 22.909 22.804 22.455 22.190 22.112 22.146 21.998 21.533  0.025 
 1   9.55  0.13  0.18848 -2.325 3.524  5.082  8.70  0.039 0.00 19.283 16.277 16.274 16.164 16.167 16.136 16.122 16.055 16.036 15.467  0.188 
 1   9.55  0.13  0.05431 -4.914 3.061  5.277  9.00  0.039 0.00 26.054 20.308 20.237 20.186 19.922 19.719 19.671 19.708 19.603 19.211  0.054 
 1   9.55  0.27  0.02115 -4.921 2.999  4.559  9.80  0.040 0.86 26.356 20.315 20.285 20.214 19.886 19.639 19.564 19.587 19.434 18.915  0.018 
 1   9.57 -0.55  1.03672  0.268 3.812  4.379 10.40  0.040 0.00 14.500 13.394 13.388 13.384 13.382 13.383 13.381 13.376 13.373 13.372  1.037 
 1   9.57 -0.49  0.01237 -4.321 3.112  4.244 11.30  0.040 0.00 26.872 21.275 21.119 21.242 21.031 20.851 20.817 20.832 20.720 20.221  0.012 
 1   9.57 -0.35  0.04837 -5.022 3.029  5.208  9.20  0.040 0.00 26.524 20.668 20.623 20.528 20.234 20.022 19.967 19.990 19.812 19.194  0.048 
 1   9.57 -0.31  0.52157 -1.250 3.619  4.828 11.90  0.040 0.00 19.796 17.337 17.324 17.283 17.274 17.268 17.257 17.241 17.232 17.226  0.522 
 1   9.57 -0.29  0.02715 -5.119 2.974  4.831  8.90  0.039 0.00 26.466 20.428 20.410 20.302 19.956 19.700 19.625 19.654 19.486 18.955  0.027 
