#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F560W  F770W  F1000W F1130W F1280W F1500W F1800W F2100W F2550W   Mact
 1   9.27 -0.27  0.01228 -4.313 3.113  4.238  9.60  0.040 0.76 25.153 19.562 19.408 19.528 19.318 19.138 19.105 19.119 19.004 18.491  0.012 
 1   9.27  0.03  0.10272 -3.035 3.452  5.239 12.80  0.040 0.87 24.675 21.305 21.261 21.019 21.003 20.972 20.949 20.844 20.905 20.410  0.103 
 1   9.27  0.05  0.14313 -2.647 3.490  5.148  9.40  0.040 0.00 20.787 17.624 17.608 17.454 17.452 17.420 17.407 17.324 17.333 16.789  0.143 
 1   9.27  0.19  0.04439 -4.725 3.091  5.120 13.70  0.040 0.97 29.546 23.904 23.788 23.816 23.578 23.377 23.338 23.378 23.317 23.040  0.044 
 1   9.27  0.29  0.01172 -4.386 3.095  4.220  8.40  0.039 0.74 24.135 18.445 18.281 18.437 18.217 18.026 17.986 18.010 17.941 17.625  0.012 
 1   9.29 -0.21  0.02785 -5.116 2.976  4.848 13.40  0.040 0.00 30.961 24.929 24.910 24.801 24.457 24.202 24.129 24.157 23.984 23.434  0.028 
 1   9.29  0.05  0.05293 -4.605 3.129  5.227 11.70  0.040 0.00 27.981 22.522 22.373 22.431 22.216 22.035 22.008 22.041 21.939 21.470  0.053 
 1   9.29  0.07  0.20240 -2.232 3.537  5.071  9.90  0.040 0.00 20.250 17.302 17.300 17.205 17.211 17.180 17.168 17.106 17.082 16.505  0.202 
 1   9.29  0.09  0.22143 -2.163 3.540  5.054  8.90  0.039 0.00 19.077 16.144 16.142 16.051 16.057 16.027 16.016 15.955 15.929 15.350  0.221 
 1   9.29  0.11  0.02722 -5.118 2.974  4.833  6.90  0.033 0.00 24.466 18.428 18.410 18.302 17.956 17.700 17.625 17.655 17.486 16.953  0.027 
 1   9.29  0.13  0.09227 -3.220 3.425  5.268  8.10  0.038 0.00 20.920 17.496 17.442 17.176 17.155 17.127 17.098 16.986 17.061 16.578  0.092 
 1   9.29  0.15  0.25339 -2.054 3.544  5.019 11.50  0.040 0.00 21.406 18.490 18.488 18.401 18.409 18.379 18.368 18.309 18.280 17.698  0.253 
 1   9.31 -0.37  0.01239 -4.322 3.111  4.245 13.00  0.040 0.00 28.576 22.977 22.822 22.945 22.734 22.553 22.520 22.535 22.423 21.926  0.012 
 1   9.31 -0.11  0.01072 -4.731 3.018  4.217  9.30  0.040 0.77 25.898 19.921 19.822 19.872 19.597 19.381 19.309 19.330 19.254 18.973  0.011 
 1   9.31 -0.11  0.05830 -4.474 3.164  5.278  9.40  0.040 0.00 25.355 20.075 19.918 19.957 19.756 19.599 19.576 19.608 19.521 19.036  0.058 
 1   9.31 -0.05  0.03742 -4.858 3.051  5.019 10.20  0.040 0.75 26.638 20.751 20.696 20.638 20.338 20.112 20.051 20.077 19.928 19.416  0.037 
 1   9.31 -0.05  0.29457 -1.904 3.562  5.007 10.40  0.040 0.00 19.930 17.122 17.123 17.047 17.047 17.022 17.007 16.962 16.935 16.554  0.295 
 1   9.31  0.07  0.23056 -2.126 3.543  5.046  8.10  0.038 0.94 17.497 14.571 14.569 14.479 14.487 14.456 14.445 14.385 14.358 13.778  0.231 
 1   9.31  0.09  0.89650 -0.360 3.716  4.559  9.80  0.040 0.92 14.914 13.040 12.997 12.993 12.991 12.993 12.992 12.988 12.986 12.985  0.896 
 1   9.31  0.23  0.20102 -2.250 3.531  5.061 10.00  0.040 0.99 19.666 16.685 16.683 16.579 16.583 16.553 16.540 16.475 16.453 15.880  0.201 
 1   9.31  0.33  0.09770 -3.125 3.436  5.241  8.60  0.039 0.86 20.734 17.281 17.218 16.954 16.929 16.904 16.869 16.760 16.829 16.340  0.098 
