# RA DEC F1500W_MAG_KRON F1500W_MAG_CIRC3 F1500W_MAG_CIRC4 F1500W_MAG_CIRC5 F2100W_MAG_KRON F2100W_MAG_CIRC3 F2100W_MAG_CIRC4 F2100W_MAG_CIRC5
53.09688 -27.86614 16.79879 17.50018 17.44060 17.32358 15.56261 16.17600 16.11033 16.01574
53.12450 -27.86599 19.34854 19.58672 19.42372 19.29415   nan   nan   nan   nan
53.09727 -27.86584 15.53557 16.30197 16.24552 16.16982 14.89046 15.70678 15.63150 15.58079
53.11680 -27.86561 14.17809 15.42157 15.35035 15.24445 12.44485 13.36974 13.34248 13.28544
53.13817 -27.86555 17.74091 17.67628 17.74424 17.76440 15.77547 15.98436 15.90846 15.80743
53.12220 -27.86545 16.79230 17.26965 17.18243 17.09804 15.46662 15.54103 15.51360 15.45533
53.15103 -27.86537 17.76771 17.55077 17.63813 17.73413 15.97702 15.81431 15.89239 15.93458
53.10315 -27.86530 16.19850 16.79511 16.73125 16.63729 12.99659 13.38514 13.38179 13.34666
53.09468 -27.86517 17.40977 17.42348 17.38436 17.32662 15.98014 15.97783 16.01095 16.06477
53.10173 -27.86510 13.67417 14.42959 14.40313 14.34249 12.44645 13.07395 13.06191 13.01944
53.14199 -27.86505 17.59332 17.71302 17.66159 17.58504 15.35337 15.68804 15.61473 15.51144
53.12160 -27.86484 15.27189 15.31650 15.32968 15.30905 13.92551 13.96214 13.98598 13.95039
53.13319 -27.86473 20.46911 19.65058 20.41713 21.67438   nan   nan   nan   nan
53.14886 -27.86462 19.17682 19.31092 19.38632 19.14148 15.95873 15.77647 15.98021 16.04208
53.08938 -27.86447 13.45761 13.93855 13.91141 13.85274 12.89837 13.16961 13.17764 13.14934
53.12917 -27.86453 18.77670 19.25245 19.18565 18.89330 17.94440 17.31027 17.64154 18.06359
53.13642 -27.86427 14.79638 15.18282 15.17931 15.14552 13.74741 14.17013 14.18360 14.16729
53.11911 -27.86406 17.95777 17.97072 17.96869 17.93540 17.15009 17.43642 17.31410 17.34991
53.11664 -27.86404 18.28579 18.30147 18.30878 18.23887 19.97641   nan 20.51605 18.75098
